date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:39	64251/64251	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2009:22:37%20GMT	http://www.pixel-industry.com/html/metropolis/metropolis-default/index.html	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/index.html	(from )
14:52:40	1108/1108	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2009:22:37%20GMT	http://www.pixel-industry.com/robots.txt		(from )
14:52:40	6076/6076	---M--	200	added ('OK')	text/css	etag:%223ea7f58-17bc-4dddd70747ef8%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/css/basic.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/css/basic.css	(from )
14:52:40	85004/85004	---M--	200	added ('OK')	text/css	etag:%2244b679e-14c0c-4dddd70a9266d%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/css/style.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/css/style.css	(from )
14:52:40	31003/31003	---M--	200	added ('OK')	text/css	etag:%2244b679d-791b-4dddd70a2e8c6%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/css/responsive.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/css/responsive.css	(from )
14:52:40	4980/4980	---M--	200	added ('OK')	text/css	etag:%2244b679c-1374-4dddd7085c42b%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/css/red.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/css/red.css	(from )
14:52:41	18554/18554	---M--	200	added ('OK')	text/css	etag:%2244b679b-487a-4dddd7083480d%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/css/prettyPhoto.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/css/prettyPhoto.css	(from )
14:52:41	23592/23592	---M--	200	added ('OK')	text/css	etag:%223352b1e-5c28-4dddd74d0fc7d%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/rs-plugin/css/settings.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/rs-plugin/css/settings.css	(from )
14:52:41	1855/1855	---M--	200	added ('OK')	text/css	etag:%223352b1d-73f-4dddd74c83adb%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/rs-plugin/css/revolution.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/rs-plugin/css/revolution.css	(from )
14:52:41	5082/5082	---M--	200	added ('OK')	text/css	etag:%223ed0440-13da-4dddd71688eb8%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/pixons/style.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/pixons/style.css	(from )
14:52:42	19431/19431	---M--	200	added ('OK')	text/css	etag:%224ef17d-4be7-4dddd71b030b3%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/font-awesome/css/font-awesome.min.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/font-awesome/css/font-awesome.min.css	(from )
14:52:42	2461/2461	---M--	200	added ('OK')	text/css	etag:%22210bc93-99d-4dddd71861103%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/style-switcher/styleSwitcher.css	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/style-switcher/styleSwitcher.css	(from )
14:52:42	3144/3144	---M--	200	added ('OK')	image/png	etag:%224818bd0-c48-4dddd73484d38%22	http://www.pixel-industry.com/html/metropolis/metropolis-default/img/red/logo.png	D:/Server/Templates/autosearchmarketing/autosearchmarketing/www.pixel-industry.com/html/metropolis/metropolis-default/img/red/logo.png	(from )
